2020-10-15 06:59:17,036 78 article, ID: 27365 took 20.848042964935303
2020-10-15 06:59:18,948 79 article, ID: 27383 took 1.9123022556304932
2020-10-15 06:59:20,162 80 article, ID: 27490 took 1.2138738632202148
2020-10-15 06:59:34,209 81 article, ID: 28444 took 14.047060489654541
2020-10-15 06:59:54,038 82 article, ID: 28908 took 19.828681468963623
2020-10-15 07:00:15,488 83 article, ID: 29256 took 21.44920539855957
2020-10-15 07:01:23,737 84 article, ID: 29511 took 68.24967288970947
2020-10-15 07:01:25,545 85 article, ID: 29518 took 1.8070709705352783
2020-10-15 07:01:46,857 86 article, ID: 30961 took 21.312209367752075
2020-10-15 07:02:00,058 87 article, ID: 31071 took 13.200644731521606
2020-10-15 07:02:15,857 88 article, ID: 31335 took 15.79935097694397
2020-10-15 07:02:30,492 89 article, ID: 31717 took 14.634546279907227
2020-10-15 07:02:44,820 90 article, ID: 32290 took 14.327877283096313
2020-10-15 07:02:58,523 91 article, ID: 32511 took 13.702604293823242
2020-10-15 07:03:14,464 92 article, ID: 34088 took 15.941222906112671
2020-10-15 07:03:33,077 93 article, ID: 34459 took 18.612626314163208
2020-10-15 07:03:52,119 94 article, ID: 34827 took 19.041649103164673
2020-10-15 07:03:54,677 95 article, ID: 34974 took 2.5574519634246826
2020-10-15 07:03:56,835 96 article, ID: 35669 took 2.158256769180298
2020-10-15 07:04:10,422 97 article, ID: 35690 took 13.586610794067383
2020-10-15 07:04:26,245 98 article, ID: 35754 took 15.823377847671509
2020-10-15 07:04:27,346 99 article, ID: 35873 took 1.100416660308838
2020-10-15 07:04:52,152 100 article, ID: 36588 took 24.805598258972168
2020-10-15 07:05:16,763 101 article, ID: 37026 took 24.61074137687683
2020-10-15 07:05:47,967 102 article, ID: 37316 took 31.204461574554443
2020-10-15 07:05:58,235 103 article, ID: 37724 took 10.26801347732544
2020-10-15 07:06:54,069 104 article, ID: 39313 took 55.833375692367554
2020-10-15 07:07:05,259 105 article, ID: 40458 took 11.18942642211914
2020-10-15 07:07:10,188 106 article, ID: 40483 took 4.929021120071411
2020-10-15 07:07:24,206 107 article, ID: 41264 took 14.017729997634888
2020-10-15 07:07:42,421 108 article, ID: 42401 took 18.213693380355835
2020-10-15 07:07:55,394 109 article, ID: 42492 took 12.972314834594727
2020-10-15 07:08:08,855 110 article, ID: 42941 took 13.461203813552856
2020-10-15 07:08:15,194 111 article, ID: 42990 took 6.33845329284668
